,Diem,Khoi
1,15.35,KhoiA1
2,15.25,KhoiA1
3,9.6,KhoiA1
4,17.1,KhoiA1
5,12.5,KhoiA1
6,16.25,KhoiB
7,11.45,KhoiB
8,17,KhoiA1
9,20.8,KhoiA1
10,12.1,KhoiA
11,16.15,KhoiA1
12,19.3,KhoiA1
13,14.15,KhoiB
14,17,KhoiB
15,16.65,KhoiA1
16,10.25,KhoiA1
17,7.9,KhoiA1
18,20.2,KhoiA
19,15.95,KhoiA1
20,12.45,KhoiA1
21,14.45,KhoiB
22,12.5,KhoiA1
23,13.05,KhoiB
24,16.65,KhoiA
25,14.1,KhoiB
26,10.6,KhoiB
27,21,KhoiA
28,11.3,KhoiA
29,14,KhoiA
30,11.1,KhoiA1
31,13.55,KhoiA1
32,17.3,KhoiA1
33,11.75,KhoiA
34,16.2,KhoiB
35,18.3,KhoiB
36,9.2,KhoiA1
37,15.25,KhoiA
38,18.05,KhoiA1
39,12.25,KhoiA
40,16.85,KhoiA
41,17.05,KhoiA
42,13.35,KhoiB
43,14.7,KhoiA
44,17.9,KhoiA1
45,12.35,KhoiB
46,14.45,KhoiB
47,14,KhoiB
48,19.7,KhoiA1
49,12.8,KhoiA
50,17.25,KhoiB
51,17.25,KhoiA1
52,11.75,KhoiB
53,14.55,KhoiB
54,12.15,KhoiA
55,17.35,KhoiA1
56,19.05,KhoiA
57,19.15,KhoiA
58,8,KhoiA
59,16.25,KhoiA1
60,15.5,KhoiA1
61,17.4,KhoiA
62,21.05,KhoiA1
63,12.55,KhoiA1
64,16.5,KhoiB
65,19.65,KhoiA1
66,16.05,KhoiB
67,14.05,KhoiA
68,17.45,KhoiA
69,17.8,KhoiA
70,15.9,KhoiA
71,17.45,KhoiA
72,17.55,KhoiB
73,16.05,KhoiB
74,11.25,KhoiB
75,12.65,KhoiA
76,16.6,KhoiA1
77,13.7,KhoiB
78,14.35,KhoiA
79,17.9,KhoiA
80,20.05,KhoiA
81,17.05,KhoiB
82,9.85,KhoiA1
83,13.55,KhoiA1
84,16.4,KhoiA
85,11.05,KhoiB
86,12.85,KhoiA1
87,12.55,KhoiA1
88,16.8,KhoiA
89,13.85,KhoiB
90,17.45,KhoiB
91,15.15,KhoiA
92,14.05,KhoiA1
93,14.85,KhoiA
94,17.85,KhoiA
95,15.25,KhoiB
96,12.75,KhoiA
97,13.45,KhoiB
98,13.25,KhoiB
99,16.05,KhoiA1
100,24.1,KhoiA
101,16.35,KhoiB
102,14.25,KhoiA
103,18.85,KhoiA1
104,8.5,KhoiB
105,13.65,KhoiA1
106,15.5,KhoiA1
107,11.25,KhoiA
108,17.15,KhoiA1
109,15.35,KhoiA1
110,14.35,KhoiA1
111,14.25,KhoiA
112,12.85,KhoiA1
113,15.2,KhoiB
114,16.4,KhoiA
115,9.15,KhoiA1
116,16.25,KhoiA1
117,23.75,KhoiA
118,15.8,KhoiB
119,11.55,KhoiA
120,14.65,KhoiA1
121,14.3,KhoiA1
122,9.1,KhoiA1
123,11.55,KhoiA
124,17.25,KhoiB
125,13.3,KhoiA
126,14.35,KhoiA1
127,19.75,KhoiA1
128,13.05,KhoiA
129,24.65,KhoiA
130,16.3,KhoiB
131,16.45,KhoiA1
132,13.3,KhoiA1
133,17.75,KhoiA
134,12.9,KhoiA1
135,14.6,KhoiA1
136,12.15,KhoiA1
137,15.35,KhoiB
138,19.1,KhoiA1
139,13.35,KhoiA1
140,19.15,KhoiA1
141,12.2,KhoiA1
142,20.55,KhoiA1
143,17.8,KhoiB
144,17.75,KhoiB
145,16.4,KhoiA
146,14.05,KhoiA1
147,13.2,KhoiB
148,11.25,KhoiB
149,20.95,KhoiB
150,15.75,KhoiA1
151,13.95,KhoiB
152,14.7,KhoiB
153,16.35,KhoiB
154,11.25,KhoiA1
155,14.8,KhoiB
156,10.1,KhoiA1
